Artist Name,Language,Genre,Sub Genre,Role
Wiz Khalifa,American/Canadian,Hip Hop,,
T-Pain,American/Canadian,Hip Hop,,
Offset,American/Canadian,Hip Hop,Rock,
YG,American/Canadian,Hip Hop,,
Migos,American/Canadian,Hip Hop,,
Tory Lanez,American/Canadian,Hip Hop,Classical,
Lil Baby,American/Canadian,Hip Hop,,
Tyga,American/Canadian,Hip Hop,,
Mustard,American/Canadian,Hip Hop,,
Young Thug,American/Canadian,Hip Hop,Classical,
DaBaby,American/Canadian,Hip Hop,Classical,
Soulja Boy,American/Canadian,Hip Hop,,
The Game,American/Canadian,Hip Hop,,
Mark Ronson,,Soul,Classical,
Paloma Faith,British,Soul,,
Adele,British,Soul,,
John Legend,,Soul,,
John Legend,,Soul,R&B,
Adele,,Soul,,
Rag'n'Bone Man,,Soul,,
Missy Elliott,,Soul,,
Ty Dolla $ign,,Soul,,
A.CHAL,,Soul,,
Snakehips,,Soul,,
Alicia Keys,,Soul,Classical,
Surfaces,,Soul,,
Pink Sweat$,,Soul,,
Moods,,Soul,,
Mura Masa,,Soul,,
Robin Thicke,,Soul,,
Leona Lewis,British,Soul,,
Frank Ocean,,Soul,,
Michael Kiwanuka,British,Soul,,
Michael Kiwanuka,,Soul,,
Stellar,Korean,Pop,R&B,
Fall Out Boy,,Rock,,
The Beach Boys,,Rock,,
Green Day,,Rock,,
The Beach Boys,American/Canadian,Rock,,
Imagine Dragons,,Rock,,
Fall Out Boy,,Rock,Classical,
Foster The People,,Rock,,
Foster The People,,Rock,R&B,
Daft Punk,,Rock,R&B,
Train,,Rock,,
WALK THE MOON,,Rock,,
Hozier,,Rock,,
The Script,,Rock,,
Sam Hunt,,Rock,,
Hunter Hayes,,Rock,,
OneRepublic,,Rock,,
Beyond,Cantonese,Rock,,
A Great Big World,,Rock,,
Common Kings,,Rock,Indie Rock,
Gloria Estefan,,Rock,,
Ximena Sariñana,Latino,Rock,,
Fahrenheit,,Rock,,
Neon Trees,,Rock,,
Bastille,,Rock,,
Vance Joy,,Rock,,
Dominic Fike,,Rock,,
Hot Chelle Rae,,Rock,,
Gavin DeGraw,,Rock,,
The Neighbourhood,,Rock,,
Elton John,,Rock,,
Tom Petty and the Heartbreakers,,Rock,,
Bob Dylan,,Rock,,
Carpenters,,Rock,,
南瓜妮歌迷俱樂部,Mandarin,Rock,,
Sara Bareilles,,Rock,,
Glass Animals,,Rock,,
Savage Garden,,Rock,,
Journey,,Rock,,
Billy Joel,,Rock,,
Fleetwood Mac,,Rock,,
Billy Ocean,,Rock,,
