,artist_name,genre
0,JJ Lin,mandopop
1,JJ Lin,singaporean mandopop
2,JJ Lin,singaporean pop
3,F.I.R.,mandopop
4,Joanna Wang,chinese audiophile
5,Joanna Wang,chinese jazz
6,Joanna Wang,mandopop
7,Joanna Wang,taiwan singer-songwriter
8,Shawn Mendes,canadian pop
9,Shawn Mendes,pop
10,Shawn Mendes,viral pop
11,Yoga Lin,chinese r&b
12,Yoga Lin,mandopop
13,Charlie Puth,pop
14,Charlie Puth,viral pop
15,Westlife,boy band
16,Niall Horan,pop
17,許嵩,mandopo
19,Joker Xue,mandopop
20,Andrew Tan,malaysian mandopop
21,Andrew Tan,mandopop
22,Imagine Dragons,modern rock
23,Imagine Dragons,pop
24,Imagine Dragons,rock
25,Hebe Tien,mandopop
26,S.H.E,c-pop girl group
27,S.H.E,mandopop
28,S.H.E,taiwan idol pop
29,S.H.E,taiwan pop
30,Fall Out Boy,emo
31,Fall Out Boy,modern rock
32,Fall Out Boy,pop
33,Fall Out Boy,rock
34,Aska Yang,mandopop
35,高爾宣 OSN,mandopop
36,高爾宣 OSN,taiwan pop
37,sodagreen,mandopop
38,Leehom Wang,mandopop
39,Leehom Wang,taiwan pop
40,Olivia Ong,singaporean mandopop
41,Olivia Ong,singaporean pop
42,Taylor Swift,pop
43,Eason Chan,c-pop
44,Eason Chan,cantopop
45,Eason Chan,mandopop
46,Jay Chou,c-pop
47,Jay Chou,mandopop
48,Jay Chou,taiwan pop
49,Jay Chou,mandopo
50,MAGIC!,pop
51,MAGIC!,reggae fusion
52,Foster The People,indietronica
53,Foster The People,modern alternative rock
54,Foster The People,modern rock
55,Foster The People,rock
56,Calvin Harris,dance pop
57,Calvin Harris,edm
58,Calvin Harris,electro house
59,Calvin Harris,house
60,Calvin Harris,pop
61,Calvin Harris,progressive house
62,Calvin Harris,uk dance
63,One Direction,boy band
64,One Direction,pop
65,One Direction,post-teen pop
66,One Direction,talent show
67,Camila Cabello,dance pop
68,Camila Cabello,pop
69,Little Mix,girl group
70,Little Mix,pop
71,Little Mix,talent show
72,Little Mix,uk pop
73,Mark Ronson,pop soul
74,Mr. Probz,pop dance
75,French Montana,hip hop
76,French Montana,pop rap
77,French Montana,rap
78,French Montana,southern hip hop
79,French Montana,trap
80,Khalid,pop
81,Khalid,pop r&b
82,Daft Punk,electro
83,Daft Punk,filter house
84,Daft Punk,rock
85,Kesha,dance pop
86,Kesha,pop
87,Harry Styles,pop
88,George Ezra,folk-pop
89,George Ezra,neo-singer-songwriter
90,Dillon Francis,brostep
91,Dillon Francis,edm
92,Dillon Francis,electro house
93,Dillon Francis,moombahton
94,Dillon Francis,pop dance
95,Dillon Francis,progressive electro house
96,Dillon Francis,slap house
97,Fifth Harmony,girl group
98,Fifth Harmony,pop
99,Fifth Harmony,talent show
100,R. City,reggae fusion
101,R. City,virgin islands reggae
102,Lil Nas X,lgbtq+ hip hop
103,Zara Larsson,pop
104,Zara Larsson,scandipop
105,Zara Larsson,swedish electropop
106,Zara Larsson,swedish pop
107,Train,dance pop
108,Train,neo mellow
109,Train,pop
110,Train,pop rock
111,WALK THE MOON,dance rock
112,WALK THE MOON,modern alternative rock
113,WALK THE MOON,modern rock
114,WALK THE MOON,neo mellow
115,WALK THE MOON,pop rock
116,Paloma Faith,british soul
117,Paloma Faith,talent show
118,Paloma Faith,uk pop
119,Childish Gambino,atl hip hop
120,Childish Gambino,hip hop
121,Childish Gambino,rap
122,P!nk,dance pop
123,P!nk,pop
124,John Legend,neo soul
125,John Legend,pop
126,John Legend,pop soul
127,John Legend,urban contemporary
128,The Chainsmokers,pop
129,Pharrell Williams,dance pop
130,Pharrell Williams,pop
131,Beyoncé,pop
132,Beyoncé,r&b
133,Adele,british soul
134,Adele,pop
135,Adele,pop soul
136,Adele,uk pop
137,Sia,pop
138,Chris Brown,r&b
139,Chris Brown,rap
140,Justin Timberlake,dance pop
141,Justin Timberlake,pop
142,Rachel Platten,post-teen pop
143,Rachel Platten,talent show
144,Rachel Platten,viral pop
145,Miley Cyrus,pop
146,ZAYN,pop
147,ZAYN,uk pop
148,Justin Bieber,canadian pop
149,Justin Bieber,pop
150,Ed Sheeran,pop
151,Ed Sheeran,singer-songwriter pop
152,Ed Sheeran,uk pop
153,Olly Murs,dance pop
154,Olly Murs,pop
155,Olly Murs,talent show
156,Olly Murs,uk pop
157,Alan Walker,electro house
158,Ronghao Li,chinese singer-songwriter
159,Ronghao Li,mandopo
160,Ronghao Li,mandopop
161,Steve Chou,classic mandopop
162,Steve Chou,mandopop
163,Astro Bunny,chinese electropop
164,Astro Bunny,mandopop
165,Astro Bunny,taiwan indie
166,Astro Bunny,taiwan pop
167,Maroon 5,pop
168,Eric Chou,mandopop
169,The Vamps,boy band
170,The Vamps,pop
171,Wiz Khalifa,hip hop
172,Wiz Khalifa,pittsburgh rap
173,Wiz Khalifa,pop rap
174,Wiz Khalifa,rap
175,Wiz Khalifa,southern hip hop
176,Wiz Khalifa,trap
177,倪安東,No genres found
178,Angela Chang,mandopop
179,Rod Wave,florida rap
180,Rihanna,barbadian pop
181,Rihanna,pop
182,Rihanna,urban contemporary
183,MKTO,pop
184,MKTO,post-teen pop
185,Elle King,modern blues rock
186,Katy Perry,pop
187,G.R.L.,girl group
188,G.R.L.,post-teen pop
189,G.R.L.,talent show
190,Lewis Capaldi,pop
191,Lewis Capaldi,uk pop
192,Ella Henderson,dance pop
193,Ella Henderson,pop dance
194,Ella Henderson,talent show
195,Ella Henderson,uk pop
196,Hozier,irish singer-songwriter
197,Hozier,modern rock
198,Hozier,pop
199,Hozier,pov: indie
200,OMI,reggae fusion
201,The Script,celtic rock
202,The Script,pop
203,Rag'n'Bone Man,neo soul
204,DJ Khaled,hip hop
205,DJ Khaled,miami hip hop
206,DJ Khaled,pop rap
207,DJ Khaled,rap
208,Tom Odell,chill pop
209,Britney Spears,dance pop
210,Britney Spears,pop
211,Bii,mandopop
212,韓紅,c-pop
213,Jam Hsiao,mandopop
214,Mayday,mandopop
215,Mayday,taiwan pop
216,羅大佑,classic mandopop
217,羅大佑,taiwan campus folk
218,羅大佑,taiwan singer-songwriter
219,Jessica Mauboy,australian indigenous music
220,Jessica Mauboy,australian pop
221,Jessica Mauboy,australian talent show
222,Tiger Hu,mandopo
223,Tiger Hu,mandopop
224,Ella Chen,mandopop
225,A-Mei Chang,mandopop
226,Sam Smith,pop
227,Sam Smith,uk pop
228,5 Seconds of Summer,boy band
229,5 Seconds of Summer,pop
230,Faye Wong,c-pop
231,吳青峰,mandopop
232,吳青峰,taiwan singer-songwriter
233,Jason Mraz,acoustic pop
234,Jason Mraz,dance pop
235,Jason Mraz,neo mellow
236,Jason Mraz,pop
237,Trevor Daniel,melodic rap
238,Jason Derulo,dance pop
239,Jason Derulo,pop
240,FKP,No genres found
241,Sam Hunt,contemporary country
242,Sam Hunt,country
243,Sam Hunt,country pop
244,Sam Hunt,modern country rock
245,Sean Kingston,dance pop
246,Sean Kingston,miami hip hop
247,Sean Kingston,pop
248,Austin Mahone,pop
249,Austin Mahone,post-teen pop
250,Jay Sean,dance pop
251,Jay Sean,pop
252,Jay Sean,pop rap
253,Jay Sean,post-teen pop
254,James TW,british singer-songwriter
255,James TW,uk pop
256,Yisa Yu,mandopo
257,Yisa Yu,mandopop
258,Hu Xia,mandopo
259,Hu Xia,mandopop
260,Stefanie Sun,mandopop
261,Stefanie Sun,singaporean mandopop
262,Stefanie Sun,singaporean pop
263,Stefanie Sun,singaporean singer-songwriter
264,Iyaz,dance pop
265,Iyaz,pop rap
266,Iyaz,post-teen pop
267,Jesse McCartney,dance pop
268,Jesse McCartney,pop
269,Jesse McCartney,post-teen pop
270,PRETTYMUCH,boy band
271,PRETTYMUCH,post-teen pop
272,PRETTYMUCH,teen pop
273,Namewee,malaysian mandopop
274,Namewee,mandopop
275,WeiBird,chinese r&b
276,WeiBird,mandopop
277,WeiBird,taiwan singer-songwriter
278,G.E.M.,mandopop
279,Jeff Chang,classic mandopop
280,Jeff Chang,mandopop
281,Ozuna,puerto rican pop
282,Ozuna,reggaeton
283,Ozuna,trap latino
284,Ozuna,urbano latino
285,Lunay,reggaeton
286,Lunay,reggaeton flow
287,Lunay,trap latino
288,Lunay,urbano latino
289,Mike Perry,pop dance
290,Mike Perry,swedish tropical house
291,J.Williams,pacific islands pop
292,Disciples,house
293,Disciples,pop dance
294,Disciples,uk dance
295,Nelly,dance pop
296,Nelly,gangster rap
297,Nelly,hip hop
298,Nelly,pop rap
299,Nelly,rap
300,Nelly,st louis rap
301,Nelly,urban contemporary
302,Taio Cruz,dance pop
303,Taio Cruz,pop
304,Taio Cruz,pop rap
305,Nicki Minaj,hip pop
306,Nicki Minaj,pop
307,Nicki Minaj,queens hip hop
308,Nicki Minaj,rap
309,USHER,atl hip hop
310,USHER,contemporary r&b
311,USHER,dance pop
312,USHER,pop
313,USHER,r&b
314,USHER,rap
315,USHER,south carolina hip hop
316,USHER,urban contemporary
317,Ne-Yo,dance pop
318,Ne-Yo,pop
319,Ne-Yo,r&b
320,Ne-Yo,urban contemporary
321,Hannah Montana,pop
322,Hannah Montana,post-teen pop
323,Sammy Adams,indie pop rap
324,Cher Lloyd,dance pop
325,Cher Lloyd,pop
326,Cher Lloyd,post-teen pop
327,Cher Lloyd,talent show
328,Far East Movement,asian american hip hop
329,Far East Movement,dance pop
330,Far East Movement,pop rap
331,Gym Class Heroes,dance pop
332,Gym Class Heroes,pop rap
333,T-Pain,dance pop
334,T-Pain,gangster rap
335,T-Pain,hip hop
336,T-Pain,pop rap
337,T-Pain,r&b
338,T-Pain,rap
339,T-Pain,southern hip hop
340,T-Pain,trap
341,T-Pain,urban contemporary
342,B.o.B,atl hip hop
343,B.o.B,dance pop
344,B.o.B,pop rap
345,B.o.B,rap
346,B.o.B,southern hip hop
347,Jordin Sparks,dance pop
348,Jordin Sparks,pop
349,Jordin Sparks,post-teen pop
350,Jordin Sparks,urban contemporary
351,AGA,cantopop
352,Mao Buyi,chinese minyao
353,Mao Buyi,chinese singer-songwriter
354,Mao Buyi,mandopo
355,David Tao,chinese r&b
356,David Tao,mandopop
357,David Tao,taiwan pop
358,David Tao,taiwan singer-songwriter
359,Hins Cheung,cantopop
360,Topic,german dance
361,Topic,pop dance
362,Topic,pop edm
363,Topic,uk dance
364,Kenji Wu,mandopop
365,Kenji Wu,taiwan singer-songwriter
366,Sam Lee,mandopop
367,Fish Leong,malaysian mandopop
368,Fish Leong,mandopop
369,Offset,atl hip hop
370,Offset,hip hop
371,Offset,pop rap
372,Offset,rap
373,Offset,trap
374,YG,cali rap
375,YG,hip hop
376,YG,pop rap
377,YG,rap
378,YG,southern hip hop
379,YG,trap
380,Migos,atl hip hop
381,Migos,hip hop
382,Migos,pop rap
383,Migos,rap
384,Migos,southern hip hop
385,Migos,trap
386,Tory Lanez,canadian hip hop
387,Tory Lanez,canadian trap
388,Tory Lanez,melodic rap
389,Tory Lanez,pop rap
390,Tory Lanez,r&b
391,Tory Lanez,rap
392,Tory Lanez,trap
393,Aitch,manchester hip hop
394,Aitch,uk hip hop
395,Tyllionaire,No genres found
396,Veronica Vega,rap latina
397,Veronica Vega,trap queen
398,Lil Baby,atl hip hop
399,Lil Baby,atl trap
400,Lil Baby,rap
401,Lil Baby,trap
402,Luniz,g funk
403,Luniz,oakland hip hop
404,Luniz,west coast rap
405,Tyga,hip hop
406,Tyga,pop rap
407,Tyga,rap
408,Tyga,southern hip hop
409,Tyga,trap
410,Mustard,cali rap
411,Mustard,pop rap
412,Mustard,rap
413,Mustard,southern hip hop
414,Mustard,trap
415,Starr Lyfe,No genres found
416,Christine Fan,mandopop
417,A-Lin,mandopop
418,Nicholas Teo,malaysian mandopop
419,Nicholas Teo,mandopop
420,BY2,mandopop
421,BY2,singaporean mandopop
422,BY2,singaporean pop
423,Rene Liu,mandopop
424,Rene Liu,taiwan singer-songwriter
425,Tanya Chua,mandopop
426,Tanya Chua,singaporean mandopop
427,Tanya Chua,singaporean pop
428,Tanya Chua,singaporean singer-songwriter
429,Tanya Chua,taiwan singer-songwriter
430,Rachel Liang,mandopop
431,Jolin Tsai,mandopop
432,LaLa Hsu,mandopop
433,LaLa Hsu,taiwan singer-songwriter
434,Karen Mok,mandopop
435,Young Thug,atl hip hop
436,Young Thug,atl trap
437,Young Thug,gangster rap
438,Young Thug,hip hop
439,Young Thug,melodic rap
440,Young Thug,rap
441,Young Thug,trap
442,Eric IV,afroswing
443,Day Sulan,No genres found
444,Doja Cat,dance pop
445,Doja Cat,pop
446,DaBaby,hip hop
447,DaBaby,north carolina hip hop
448,DaBaby,pop rap
449,DaBaby,rap
450,DaBaby,trap
451,Soulja Boy,atl hip hop
452,Soulja Boy,chicago bop
453,Soulja Boy,dance pop
454,Soulja Boy,pop rap
455,Soulja Boy,rap
456,Soulja Boy,southern hip hop
457,Soulja Boy,trap
458,Akon,dance pop
459,Ren Ran,mandopo
460,Ren Ran,mandopop
461,Harlem Yu,classic mandopop
462,Harlem Yu,mandopop
463,Michael Wong,malaysian mandopop
464,Michael Wong,mandopop
465,Rainie Yang,mandopop
466,Gary Chaw,malaysian mandopop
467,Gary Chaw,mandopop
468,Jordan Chan,mandopop
469,Redfoo,No genres found
470,Rixton,post-teen pop
471,Rixton,talent show
472,Rixton,teen pop
473,Rixton,viral pop
474,Bruno Mars,dance pop
475,Bruno Mars,pop
476,Shontelle,barbadian pop
477,Shontelle,dance pop
478,Shontelle,post-teen pop
479,Shontelle,talent show
480,Destiny's Child,dance pop
481,Destiny's Child,girl group
482,Destiny's Child,pop
483,Destiny's Child,r&b
484,Destiny's Child,urban contemporary
485,Hunter Hayes,contemporary country
486,Hunter Hayes,country
487,Hunter Hayes,country road
488,Hunter Hayes,modern country rock
489,Pets Tseng,mandopop
490,Janice Yan,mandopop
491,Lin Hsin Yi,mandopop
492,Cyndi Wang,mandopop
493,林凡,mandopop
494,Silence Wang,chinese singer-songwriter
495,Silence Wang,mandopo
496,Della,mandopop
497,Eve Ai,mandopop
498,Eve Ai,taiwan singer-songwriter
499,Show Luo,mandopop
500,Claire Kuo,mandopop
501,831,mandopop
502,831,taiwan idol pop
503,Victor Wong,malaysian mandopop
504,Victor Wong,mandopop
505,Yen-J,mandopop
506,Evan Yo,mandopop
507,Evan Yo,taiwan singer-songwriter
508,胡66,chinese viral pop
509,胡66,mandopo
510,TANK 呂建忠,mandopop
511,TANK 呂建忠,taiwan pop
512,Shi Shi,mandopop
513,Shi Shi,taiwan pop
514,Valen Hsu,classic mandopop
515,Valen Hsu,mandopop
516,Nicky Lee,mandopop
517,Jason Zhang,mandopo
518,Nine Chen,mandopop
519,Nine Chen,taiwan singer-songwriter
520,Yoyo Sham,cantopop
521,Yoyo Sham,hong kong indie
522,Vicky Chen,mandopop
523,Vicky Chen,taiwan singer-songwriter
524,Crowd Lu,mandopop
525,Crowd Lu,taiwan indie
526,Crowd Lu,taiwan singer-songwriter
527,Kelly Yu,mandopo
528,Kelly Yu,mandopop
529,Xiao Yu,mandopo
530,Xiao Yu,mandopop
531,Xiao Yu,taiwan singer-songwriter
532,Sandy Lam,c-pop
533,Sandy Lam,classic mandopop
534,Sandy Lam,mandopop
535,Will Pan,mandopop
536,Jason Chan,cantopop
537,James Arthur,pop
538,James Arthur,talent show
539,James Arthur,uk pop
540,Jacky Cheung,c-pop
541,Jacky Cheung,classic mandopop
542,Khalil Fong,chinese r&b
543,Khalil Fong,mandopop
544,Janice Vidal,cantopop
545,Penny Tai,malaysian mandopop
546,Penny Tai,mandopop
547,Penny Tai,taiwan singer-songwriter
548,Wanting,mandopop
549,Ann Bai,mandopop
550,Fiona Sit,cantopop
551,Diana Wang,mandopop
552,Kimberley Chen,mandopop
553,Nan Quan Mama,mandopop
554,Candy Lo,cantopop
555,Shiga Lin,cantopop
556,Hua Chen Yu,chinese hip hop
557,Tim McGraw,contemporary country
558,Tim McGraw,country
559,Tim McGraw,country road
560,OneRepublic,piano rock
561,OneRepublic,pop
562,Ricky Hsiao,mandopop
563,Ricky Hsiao,taiwan singer-songwriter
564,許光漢,No genres found
565,黃齡,mandopo
566,Alien Huang,mandopop
567,Alien Huang,taiwan pop
568,J.Sheon,mandopop
569,J.Sheon,taiwan singer-songwriter
570,Jia Jia,mandopop
571,Zhang Zhen Yue,classic mandopop
572,Zhang Zhen Yue,mandopop
573,Zhang Zhen Yue,taiwan pop
574,Zhang Zhen Yue,taiwan singer-songwriter
575,Leo Ku,cantopop
576,Waa Wei,chinese indie
577,Waa Wei,mandopop
578,Waa Wei,taiwan indie
579,Waa Wei,taiwan pop
580,Waa Wei,taiwan singer-songwriter
581,Beyond,c-pop
582,Beyond,cantopop
583,Beyond,classic cantopop
584,Beyond,hong kong rock
585,Tangerine Wong,malaysian mandopop
586,Tangerine Wong,mandopop
587,Zhou Shen,chinese talent show
588,Zhou Shen,mandopo
589,Ariel Tsai,mandopop
